Speed_mph,Curve_CUR_degree,Curve_Max_FOL_500ft_degree,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_500ft_ft,Elev_Delta_FOL_500_1kft_ft,Elev_Delta_FOL_1k_1k5ft_ft,Elev_Delta_FOL_1k5_2kft_ft,Elev_Delta_FOL_2k_2k5ft_ft,Elev_Delta_PRE_500ft_ft,Elev_Delta_PRE_500_1kft_ft,Elev_Delta_PRE_1k_1k5ft_ft,Elev_Delta_PRE_1k5_2kft_ft,Elev_Delta_PRE_2k_2k5ft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
76.32,0.00056,2.43756,1.07706,2.06362,20.75936,10.82476,0.0009,0.0009,0.0009,0.0009,0.0009,-1.1664856999999529,-0.9039000000000215,0.5176571000000649,-0.12261430000000928,1.2068715000000338,-0.16570000000001528,-0.7329999999999472,-0.5911714999999731,-0.6197856999999658,-0.7621143000000075,-0.7191856999999118,6750,197000,46600,8250,19600,11100
46.69,0.00092,0.00092,2.06362,20.75936,10.82476,6.01546,2.43756,0.0009,0.0009,0.0009,0.0009,-2.4416856999999936,0.5012572000000546,0.5176571000000649,1.2068715000000338,-0.16570000000001528,-0.0866715000000795,-0.9039000000000215,-0.6534285000000182,-0.5911714999999731,-0.6197856999999658,-0.7191856999999118,6300,196550,46150,8700,20050,11550
69.26,0.0002,2.06362,0.00072,20.75936,10.82476,4.8099,2.43756,0.0009,0.0009,0.0009,0.0009,-2.288114299999961,0.5176571000000649,1.1043571999999813,1.2068715000000338,-0.2778000000000702,-0.0866715000000795,-0.943614299999922,-0.7329999999999472,-0.5911714999999731,-0.6197856999999658,-0.8561571000000185,6100,196350,45950,8900,20250,11750
26.27,0.00052,2.06362,20.75936,10.82476,6.01546,4.8099,0.19002,2.43756,0.0009,0.0009,0.0009,0.2022856999999476,0.5176571000000649,1.2068715000000338,0.2718284999999696,-0.0866715000000795,-0.7341285999999627,-0.16908569999998235,-0.9039000000000215,-0.5911714999999731,-0.6368142999999691,-0.6197856999999658,5900,196150,45750,9100,20450,11950
66.69,0.0,0.00072,20.75936,10.82476,4.8099,11.0033,2.06362,2.43756,0.0009,0.0009,0.0009,-1.6002143000000615,1.1043571999999813,1.2068715000000338,-0.2778000000000702,-0.0866715000000795,-0.39010000000007494,0.5176571000000649,-0.943614299999922,-0.7329999999999472,-0.5911714999999731,-0.6197856999999658,5600,195850,45450,9400,20750,12250
67.34,0.0,0.00072,20.75936,10.82476,4.8099,11.0033,2.06362,2.43756,0.0009,0.0009,0.0009,-1.6002143000000615,1.1043571999999813,1.2068715000000338,-0.2778000000000702,-0.0866715000000795,-0.39010000000007494,0.5176571000000649,-0.943614299999922,-0.7329999999999472,-0.5911714999999731,-0.6197856999999658,5600,195850,45450,9400,20750,12250
61.34,0.00074,1.00672,3.4022,7.0132,4.7418,4.1756,2.54236,1.50332,0.92932,0.00012,0.00012,-1.2212713999999778,-0.7643429000000879,-0.06005720000007386,-0.5957143000000542,-0.6378427999999303,-0.4303714000000127,-0.49097150000000056,-0.4592000000000098,-0.5779999999999745,-0.23724279999998998,0.10192849999998543,5850,123400,79000,2800,93200,27000
57.06,0.0,4.7418,4.1756,2.3248,5.077,8.9202,7.0132,3.4022,1.00672,2.54236,0.00084,-0.9617143000000397,-0.6358285000000024,-0.11517140000000836,-0.1358857000000171,-0.8893143000000236,1.170614300000011,-0.6210714999999709,-0.06005720000007386,-0.08052859999997963,-0.6519857000000684,-0.4592000000000098,4100,121650,77250,4550,94950,28750
54.08,0.0004,4.7418,4.1756,3.8408,2.3248,8.6222,7.0132,3.4022,1.00672,2.54236,1.50332,-1.2297428000000536,-0.6378427999999303,-0.4303714000000127,-0.11517140000000836,-0.3126285000000735,0.83299999999997,-0.5673143000000209,-0.06005720000007386,-0.9439571999999998,-0.49097150000000056,-0.4592000000000098,4350,121900,77500,4300,94700,28500
53.54,7.0132,1.3586,4.7418,3.8408,2.3248,8.6222,3.3792,3.4022,2.54236,0.00084,1.50332,-1.0083429000000024,-0.6378427999999303,-0.5292143000000351,-0.11517140000000836,-0.1992857999999842,0.08621430000005148,-0.381657099999984,-0.06005720000007386,-0.9840714000000617,-0.4592000000000098,-0.5010142999999516,4450,122000,77600,4200,94600,28400
