Route,Type,"Operating
Revenue","Frequency
Variable
Costs","Route
Variable
Costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in
Thousands)","Seat Miles
(in Millions)","Passenger
Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Acela,NEC,305.2,74.8,169.9,69.3,314,-8.8,299.9,"1,913.80",636.7,381.4,2.1,"5,310.00"
Regional,NEC,530,155.4,235.4,144.2,534.9,-5,506.1,"6,332.30","1,839.20","1,139.40",4.2,"11,474.70"
NEC Special Trains & Adjustments,NEC,5.8,0.7,2.2,7.7,10.5,-4.7,1.5,0,4.5,0,0,354
NEC,NEC,841,230.8,407.5,221.2,859.5,-18.5,807.5,"8,246.10","2,480.40","1,520.80",6.3,"17,138.70"
Ethan Allen Express,State Supported,5.1,3.5,1.2,1.5,6.2,-1.1,1.2,56.2,23.2,4,0.1,291.5
Vermonter,State Supported,8.5,5.3,1.9,2.6,9.8,-1.3,2.6,80.2,48.3,9,0.2,264.3
Maple Leaf,State Supported,30.5,18.4,10.6,7.7,36.7,-6.2,15,351.6,212.2,67.9,0.6,"1,384.60"
The Downeaster,State Supported,16.3,9.3,4.9,4.2,18.4,-2.2,8.2,399.1,141.9,35,0.5,"3,303.00"
Berkshire Flyer,State Supported,-0.1,0,0,0,0.1,-0.1,0,1.6,0.4,0.2,0,16.1
New Haven - Springfield,State Supported,19,11.8,12.6,7,31.5,-12.4,5.7,296.1,84.5,17.1,0.4,"4,959.40"
Keystone Service,State Supported,33.2,12.4,39.8,17.9,70.1,-36.9,17.1,724.3,225.5,48.6,0.6,"4,007.90"
Empire Service,State Supported,54,22.7,32.1,18.3,73.1,-19,54.6,922.3,265,150.5,0.8,"4,130.80"
Great River Hiawatha,State Supported,-,-,-,-,-,-,-,0,0,0,0,0
Chicago-St.Louis,State Supported,36.3,17.8,13.8,5.7,37.3,-1,13.8,435.4,213.1,85.2,0.8,"2,544.10"
Hiawathas,State Supported,20.3,11.3,8.9,3.3,23.5,-3.1,11.1,450.5,77,36.3,0.4,"4,340.00"
Wolverines,State Supported,32.8,14,19.5,7.5,41,-8.1,17.2,340.8,152.1,75.4,0.6,"1,984.00"
Illini,State Supported,18.1,8.1,3.2,2.8,14.2,3.9,6,207.5,118.2,34.3,0.3,882
ILLINOIS Zephyr,State Supported,16.6,8.2,4.7,2.8,15.6,1,3.6,123,62.8,20.1,0.3,"1,314.00"
Heartland Flyer,State Supported,6.6,3.6,2.1,1.9,7.6,-1,1.6,58.4,26.2,10.6,0.1,663
Pacific Surfliner,State Supported,89.6,54.1,31.5,22.5,108.1,-18.5,47.3,"1,470.70",592.6,145.5,1.4,"6,877.00"
Cascades,State Supported,34.1,20,12.5,7.6,40.2,-6,14.4,353.4,109.4,55.3,0.5,"1,991.70"
Capitols,State Supported,45.8,28.5,12.9,11.4,52.8,-7,14.4,604.6,225.4,45.2,0.8,"6,896.00"
San Joaquins,State Supported,73.4,51.3,19.8,14.3,85.5,-12.1,21.1,646,478.1,94.5,1.2,"3,981.00"
Adirondack,State Supported,1.8,1.7,-0.1,0.2,1.8,0,-,0,0,0,0,0
Blue Water,State Supported,12.8,6.1,6.2,2.4,14.8,-2,5.2,131.9,70.1,25.7,0.2,668
Washington-Lynchburg,State Supported,8.3,5.8,3.5,2.3,11.6,-3.3,7,201.7,80.2,28.1,0.2,290.3
Washington - Newport News,State Supported,10.6,7.1,5.3,2.7,15.1,-4.5,8,220.4,76.5,27.4,0.2,318.3
Washington - Norfolk,State Supported,12.9,9.4,6.5,4.3,20.2,-7.3,9.5,273.6,138.1,37,0.3,491.9
Washington - Richmond,State Supported,5.2,3.5,2.7,2,8.2,-3,2.1,82.4,46.2,7,0.1,185.8
Hoosier State,State Supported,-,0,-,-,0,0,-,0,0,0,0,0
Kansas City-St.Louis,State Supported,11.7,5.3,2.8,2,10.1,1.5,4,108.1,59.6,21.2,0.3,830.4
Pennsylvanian,State Supported,13.7,8.2,6.6,4.1,19,-5.3,8.6,160.9,70.1,34.6,0.2,530.2
Gulf Coast Limited,State Supported,0,0,0,0,0,0,-,0,0,0,0,0
Pere Marquette,State Supported,6.5,3.2,2.8,2.9,8.9,-2.4,3.1,78.1,24.1,11.9,0.1,665
Carolinian,State Supported,17.5,11.3,4.6,4,19.9,-2.5,12.6,245.6,112.7,53.9,0.3,451.7
Piedmont,State Supported,7.6,5.9,0.7,2,8.6,-1.1,3.9,188.4,53.8,22,0.3,"1,952.00"
Non Nec Special Trains & Adjustments,State Supported,5,1.6,4.6,10.4,16.6,-11.6,4.9,0.2,4.7,0,0.1,876
State Supported,State Supported,653.7,369.8,278.1,178.3,826.3,-172.5,323.6,"9,213.00","3,791.90","1,203.30",12.1,"57,089.90"
Silver Star,Long Distance,50.3,49.2,31.8,21.8,102.8,-52.5,47.2,402.1,357.1,204.8,1,667
Cardinal,Long Distance,7.4,12.3,5.4,7.1,24.8,-17.4,6.8,73.4,48.5,27,0.3,281
Silver Meteor,Long Distance,11.1,10.1,8.5,3.9,22.5,-11.4,10.9,79.2,76,41.8,0.3,214
Empire Builder,Long Distance,44.7,58.9,22.2,19.8,100.9,-56.2,42.4,277.1,376.5,200.2,1.5,"1,142.00"
Capitol Limited,Long Distance,17.1,16.9,11.5,9.5,37.9,-20.8,16.6,153.9,111,67,0.5,628
California Zephyr,Long Distance,50.9,62.4,24.9,23,110.3,-59.4,48.2,269.3,330.6,196.7,1.5,678
Southwest Chief,Long Distance,36.5,54.2,23.5,17.7,95.4,-58.8,34.7,205.3,309.7,183.6,1.3,592
City of New Orleans,Long Distance,13.2,18.5,9.7,7.7,35.9,-22.8,12.4,144.1,124.6,59.3,0.5,538
Texas Eagle,Long Distance,21.6,30.3,11.6,8.9,50.7,-29.2,19.7,232.4,165.6,114.4,0.8,632
Sunset Limited,Long Distance,10.2,27,12.3,9.1,48.5,-38.2,9.4,69.1,141.2,52.6,0.6,280
Coast Starlight,Long Distance,42.3,46.9,20.9,17.2,84.9,-42.6,39.8,320.6,255.9,146.8,0.9,628
Lake Shore Limited,Long Distance,27.7,28.5,21.1,12.7,62.3,-34.6,26.6,288.9,202.3,118.3,0.7,"1,104.00"
Palmetto,Long Distance,23.3,15.4,13.2,8.8,37.4,-14.1,22,256.6,138.7,62.4,0.5,641
Crescent,Long Distance,25,24.8,22.5,12.2,59.5,-34.5,23.8,186.7,171.7,80.8,0.7,548
Auto Train,Long Distance,113.1,43.1,31.1,15.9,90.2,22.9,112,263.3,325.5,155.3,0.6,656
